id;question;question_content_type;answer;answer_content_type;complete_answer;complete_answer_content_type;correction;correction_content_type;qcm_group_id;student_id
1;../fake-data/blob/hipster.png;image/png;;;;;;;1;3
2;../fake-data/blob/hipster.png;image/png;;;;;;;1;4
3;../fake-data/blob/hipster.png;image/png;;;;;;;1;5
4;../fake-data/blob/hipster.png;image/png;;;;;;;1;6
5;../fake-data/blob/hipster.png;image/png;;;;;;;1;7
6;../fake-data/blob/hipster.png;image/png;;;;;;;2;3
7;../fake-data/blob/hipster.png;image/png;;;;;;;2;4
8;../fake-data/blob/hipster.png;image/png;;;;;;;2;5
9;../fake-data/blob/hipster.png;image/png;;;;;;;2;6
10;../fake-data/blob/hipster.png;image/png;;;;;;;2;7
